date,VOO,KMLM
1993-01-29,100.0000000000,100.0000000000
1993-02-01,100.7111682878,101.3202707305
1993-02-02,100.9245472500,101.6481387822
1993-02-03,101.9914262409,102.0016928547
1993-02-04,102.4181525255,101.5697266612
1993-02-05,102.3469945649,102.4780496361
1993-02-08,102.3469945649,103.2244733810
1993-02-09,101.6357946373,103.5018375879
1993-02-10,101.7781817480,103.4493028058
1993-02-11,102.2758998840,103.4311791077
1993-02-12,101.4935578158,104.5417109844
1993-02-16,98.9331130991,104.1682641486
1993-02-17,98.8619946883,104.4314366484
1993-02-18,98.7908050879,104.7733351550
1993-02-19,99.1465078812,104.6889958839
1993-02-22,99.5021553047,105.2686931518
1993-02-23,99.4309577944,105.1721717643
1993-02-24,100.7111682878,105.6672416316
1993-02-25,100.9245472500,105.8104674625
1993-02-26,101.0669027208,105.9989376469
1993-03-01,100.7823737081,106.4033174675
1993-03-02,102.2758998840,106.0405127835
1993-03-03,102.7026657183,106.3937965655
1993-03-04,102.1337421620,105.7774018181
1993-03-05,101.8492289692,106.6514147297
1993-03-08,104.1251525830,107.1842330728
1993-03-09,103.7695051595,106.6823313788
1993-03-10,103.9828841217,106.8317909297
1993-03-11,103.6983867487,106.6959336982
1993-03-12,102.6315235777,105.6850502412
1993-03-15,103.1293840929,106.4625453732
1993-03-16,103.1293840929,106.1341561829
1993-03-17,102.4892946661,106.4797021587
1993-03-18,103.1293840929,106.0014938318
1993-03-19,102.9733443988,106.5707807543
1993-03-22,102.4016839979,106.7576099533
1993-03-23,102.6161070742,106.3950662395
1993-03-24,102.6161070742,106.2128122368
1993-03-25,103.2591785543,106.2325159871
1993-03-26,102.6875023334,105.5228556658
1993-03-29,103.1162377467,105.3423693252
1993-03-30,103.4020560822,105.4540686747
1993-03-31,103.3306450031,105.4239013628
1993-04-01,102.9733443988,104.7847186265
1993-04-02,100.8295803231,104.9838866844
1993-04-05,101.3297663652,104.7837759669
1993-04-06,101.0439480297,105.8717380312
1993-04-07,101.4012328140,105.8828714564
1993-04-08,101.2583711060,106.3166577265
1993-04-12,102.6875023334,106.2442236669
1993-04-13,102.9018621301,106.0524737167
1993-04-14,102.7589055026,106.2502100464
1993-04-15,102.7589055026,106.8399641873
1993-04-16,102.7589055026,107.7616350256
1993-04-19,102.3302333690,107.7737440824
1993-04-20,101.8300156870,107.8739170481
1993-04-21,101.7585887880,108.6238095718
1993-04-22,100.4722718089,109.4547872567
1993-04-23,100.0434968458,107.9886494244
1993-04-26,99.2573659089,106.8179553005
1993-04-27,100.3293942809,107.0408382726
1993-04-28,100.1149474747,106.3038410236
1993-04-29,100.5437145278,105.8158456131
1993-04-30,100.6866711553,105.6492408019
1993-05-03,101.3297663652,105.4880928132
1993-05-04,101.6871381591,105.9539228951
1993-05-05,101.9729169448,105.8788530768
1993-05-06,101.6156400704,105.9177350291
1993-05-07,101.4012328140,106.0423738497
1993-05-10,101.6156400704,105.7128448691
1993-05-11,102.0443754837,106.0940420384
1993-05-12,101.9014584060,106.3341547554
1993-05-13,100.6866711553,106.8115181361
1993-05-14,100.6151809766,107.3337097611
1993-05-17,100.9725053107,107.0166053266
1993-05-18,100.9010072221,106.3023240091
1993-05-19,102.9733443988,106.1106598463
1993-05-20,103.2591785543,105.8573575116
1993-05-21,102.3302333690,106.1059602783
1993-05-24,102.7589055026,105.2453780110
1993-05-25,102.9733443988,105.6913903937
1993-05-26,104.2595980983,106.0546990788
1993-05-27,103.9023686837,105.9720585193
1993-05-28,103.4020560822,105.7396934299
1993-06-01,104.4025230860,106.0182988488
1993-06-02,104.2595980983,106.0785608138
1993-06-03,103.9023686837,106.2197454851
1993-06-04,103.5450047998,107.3129002950
1993-06-07,103.1877121055,107.3724439907
1993-06-08,102.2588539297,107.8414205472
1993-06-09,102.6161070742,108.1967671362
1993-06-10,102.6875023334,108.6975355541
1993-06-11,103.1162377467,109.0555242156
1993-06-14,102.9733443988,109.4914941568
1993-06-15,102.7589055026,109.7929832737
1993-06-16,102.9733443988,109.5931027592
1993-06-17,103.3306450031,110.1465966759
1993-06-18,102.4797631696,109.8932452339
1993-06-21,102.6956258578,109.7461876309
1993-06-22,102.7675669040,109.8495779261
1993-06-23,101.8320643655,110.4589711760
1993-06-24,103.1993555601,111.3162733767
1993-06-25,103.1274224239,111.7245081199
1993-06-28,104.2788509302,112.2459316667
1993-06-29,103.7750579483,111.4378940030
1993-06-30,103.7750579483,112.4973227255
1993-07-01,103.4871751144,112.0428873396
1993-07-02,102.9115201859,112.2815396658
1993-07-06,101.8320643655,112.2889666930
1993-07-07,102.1198839198,113.0774202678
1993-07-08,103.2713440660,113.0503843978
1993-07-09,103.5591557103,114.0146533077
1993-07-12,103.4871751144,114.3327571257
1993-07-13,103.4152657081,113.9528447636
1993-07-14,103.7750579483,114.8012531323
1993-07-15,103.3433246619,114.7978086065
1993-07-16,103.0554655578,115.0292674157
1993-07-19,102.9835798814,113.9695216004
1993-07-20,103.2713440660,114.1140446657
1993-07-21,103.1993555601,113.5763790319
1993-07-22,102.4797631696,114.3216560713
1993-07-23,102.9835798814,114.3105253520
